player_name,team,eligible_positions,salary,projected_points
Luka Doncic,DAL,PG/SG,11200,56.4
Stephen Curry,GSW,PG,9800,47.8
Damian Lillard,MIL,PG,9300,45.1
Tyrese Haliburton,IND,PG/SG,9600,46.9
Shai Gilgeous-Alexander,OKC,PG/SG,10800,54.0
Devin Booker,PHX,SG/SF,9100,44.7
Anthony Edwards,MIN,SG/SF,8600,42.5
Donovan Mitchell,CLE,SG,9200,45.6
Jayson Tatum,BOS,SF/PF,10200,50.9
LeBron James,LAL,SF/PF,9700,46.2
Kawhi Leonard,LAC,SF/PF,8300,40.1
Jimmy Butler,MIA,SF/PF,8400,40.8
Giannis Antetokounmpo,MIL,PF/C,11800,58.7
Kevin Durant,PHX,SF/PF,10100,48.5
Zion Williamson,NOP,PF,7900,39.4
Paolo Banchero,ORL,PF/SF,7800,38.9
Nikola Jokic,DEN,C,12000,60.2
Joel Embiid,PHI,C,11400,57.1
Bam Adebayo,MIA,C/PF,8200,41.0
Myles Turner,IND,C,6900,34.2
Malik Monk,SAC,PG/SG,6200,31.0
Josh Hart,NYK,SG/SF,6400,32.4
RJ Barrett,TOR,SF/SG,6100,30.1
Naz Reid,MIN,PF/C,5600,28.3
Derrick White,BOS,PG/SG,6800,33.8
Brook Lopez,MIL,C,5900,27.5
Grayson Allen,PHX,SG/SF,5200,24.8
P.J. Washington,DAL,PF/SF,5700,26.9
